Collection Name,path ,Serial No.,Product Name,End use,fabric type,Transparency,Pattern,Color,composition,gsm,collection_changed
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2601,(FORTUNE AKRON)(2601),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,340,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2602,(FORTUNE AKRON)(2602),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,410,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2603,(FORTUNE AKRON)(2603),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,410,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2604,(FORTUNE AKRON)(2604),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,445,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2605,(FORTUNE AKRON)(2605),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,355,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2606,(FORTUNE AKRON)(2606),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,430,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2607,(FORTUNE AKRON)(2607),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,345,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2608,(FORTUNE AKRON)(2608),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,355,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2609,(FORTUNE AKRON)(2609),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,310,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2610,(FORTUNE AKRON)(2610),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Beige,100% Polyester,430,fortuneakron
FORTUNE AKRON,/content/drive/MyDrive/Scan JD shadecards/ALPS/AKRON,2611,(FORTUNE AKRON)(2611),"Sofa,Cushions",Jacquard,Opaque,Plains and Textures,Grey,100% Polyester,345,fortuneakron
